Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
5181,63595535454454.1,60.00024000096,320,240,89,121,27,-97.9873625398769,-50.0709071253258,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5182,63595535454476.1,60.00024000096,320,240,75,113,27,-109.286331981165,-56.8178133022318,27,284,144,27,35,34,289,195,276,145,276,174,284,144,13,145,144
5183,63595535454499.1,60.00024000096,320,240,63,107,27,-111.714579195001,-59.1872210141723,27,283,145,27,35,34,289,195,276,145,276,174,283,145,13,145,145
5184,63595535454522.1,60.00024000096,320,240,54,101,27,-106.322599311938,-57.5931299719322,27,283,144,27,35,34,289,195,276,145,276,174,283,144,13,145,144
5185,63595535454543.1,60.00024000096,320,240,47,97,27,-95.6982957424139,-54.0030996805686,27,283,144,27,35,34,289,195,276,145,276,174,283,144,13,145,144
5186,63595535454565.1,60.00024000096,320,240,42,94,27,-83.0601986105924,-48.1531465715875,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5187,63595535454586.1,60.00024000096,320,240,42,94,27,0,0,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5188,63595535454604.1,60.00024000096,320,240,42,94,27,0,0,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5189,63595535454625.1,60.00024000096,320,240,39,92,27,-8.17832318460009,-4.91554517748384,27,284,144,27,35,34,289,195,276,145,276,174,284,144,13,145,144
5190,63595535454650.1,60.00024000096,320,240,37,91,27,-11.9403518495161,-7.17669595912641,27,283,144,27,35,34,289,195,276,145,276,174,283,144,13,145,144
5191,63595535454671.1,60.00024000096,320,240,35,90,27,-13.0746852752202,-7.85848207524342,27,284,144,27,35,34,289,195,276,145,276,174,284,144,13,145,144
5192,63595535454698.1,60.00024000096,320,240,34,89,27,0,0,27,284,144,27,35,34,289,195,276,145,276,174,284,144,13,145,144
5193,63595535454720.1,60.00024000096,320,240,34,88,27,0,0,27,284,144,27,35,34,289,195,276,145,276,174,284,144,13,145,144
5194,63595535454741.1,60.00024000096,320,240,34,89,27,0,0,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5195,63595535454763.1,60.00024000096,320,240,35,89,27,0,0,27,284,145,27,35,34,289,195,276,145,276,174,284,145,13,145,145
5196,63595535454782.1,60.00024000096,320,240,37,89,27,0,0,27,284,146,27,35,34,289,195,276,145,276,174,284,146,13,145,146
5197,63595535454804.1,60.00024000096,320,240,39,90,27,4.39796041308079,1.23510768444569,27,284,146,27,35,34,289,195,276,149,276,149,284,146,13,149,146
5198,63595535454826.1,60.00024000096,320,240,41,91,27,9.33702220309797,3.26125721929071,27,284,146,27,35,34,289,195,276,169,276,169,284,146,13,169,146
5199,63595535454854.1,60.00024000096,320,240,44,91,27,14.2043793123923,4.10324665512333,27,284,146,27,35,34,289,195,276,157,276,157,284,146,13,157,146
5200,63595535454877.1,60.00024000096,320,240,46,92,27,17.2206946640618,5.71081614432004,27,283,146,27,35,34,289,195,276,173,276,173,283,146,13,173,146
5201,63595535454905.1,60.00024000096,320,240,49,93,27,20.4887004739564,6.15117142819205,27,284,147,27,35,34,289,195,276,158,276,158,284,147,13,158,147
5202,63595535454930.1,60.00024000096,320,240,52,94,27,22.1945945054978,7.39541636185223,27,284,148,27,35,34,289,195,276,165,276,165,284,148,13,165,148
5203,63595535454955.1,60.00024000096,320,240,55,95,27,24.4016794954554,7.51934863422069,27,284,149,27,35,34,289,195,276,159,276,159,284,149,13,159,149
5204,63595535454979.1,60.00024000096,320,240,55,95,27,0,0,27,284,150,27,35,34,289,195,276,159,276,159,284,150,13,159,150
5205,63595535455003.1,60.00024000096,320,240,59,96,27,10.3597266197027,3.00610712375009,27,283,152,27,35,34,289,195,276,161,276,161,283,152,13,161,152
5206,63595535455030.1,60.00024000096,320,240,62,97,27,16.5832008647659,5.84691640067513,27,284,153,27,35,34,289,195,276,173,276,173,284,153,13,173,153
5207,63595535455052.1,60.00024000096,320,240,65,98,27,21.6067749469187,6.93454345873924,27,284,154,27,35,34,289,195,276,165,276,165,284,154,13,165,154
5208,63595535455080.1,60.00024000096,320,240,69,100,27,24.1667036816675,8.46661169983953,27,284,154,27,35,34,289,195,276,169,276,169,284,154,13,169,154
5209,63595535455109.1,60.00024000096,320,240,69,100,27,0,0,27,284,156,27,35,34,289,195,276,169,276,169,284,156,13,169,156
5210,63595535455132.1,60.00024000096,320,240,72,101,27,10.5014433184043,2.4852083317207,27,284,157,27,35,34,289,195,276,138,276,138,284,157,13,138,157
5211,63595535455158.1,60.00024000096,320,240,76,102,27,18.2481072448703,5.08640416431225,27,284,158,27,35,34,289,195,276,155,276,155,284,158,13,155,158
5212,63595535455183.1,60.00024000096,320,240,80,103,27,22.504017433133,6.10178255992195,27,284,160,27,35,34,289,195,276,156,276,156,284,160,13,156,160
5213,63595535455204.1,60.00024000096,320,240,80,103,27,0,0,27,283,160,27,35,34,289,195,276,156,276,156,283,160,13,156,160
5214,63595535455231.1,60.00024000096,320,240,87,104,27,19.8255163753957,3.20175648958097,27,284,161,27,35,34,289,195,276,132,276,132,284,161,13,132,161
5215,63595535455258.1,60.00024000096,320,240,100,106,27,47.8992539080777,7.59056447478821,27,284,161,27,35,34,289,195,276,132,276,132,284,161,13,132,161
5216,63595535455285.1,60.00024000096,320,240,112,108,27,68.1158930293451,10.8340080998931,27,283,160,27,35,34,289,195,276,135,276,135,283,160,13,135,160
5217,63595535455306.1,60.00024000096,320,240,112,108,27,0,0,27,283,159,27,35,34,289,195,276,135,276,135,283,159,13,135,159
5218,63595535455333.1,60.00024000096,320,240,132,110,27,53.3590895038073,6.77981410430733,27,283,158,27,35,34,289,195,276,129,276,129,283,158,13,129,158
5219,63595535455355.1,60.00024000096,320,240,132,110,27,0,0,27,284,156,27,35,34,289,195,276,129,276,129,284,156,13,129,156
5220,63595535455380.1,60.00024000096,320,240,156,113,27,66.6541353377793,6.40726429614433,27,284,154,27,35,34,289,195,276,124,276,124,284,154,13,124,154
5221,63595535455403.1,60.00024000096,320,240,181,115,27,114.811037593158,10.8126058723707,27,284,153,27,35,34,289,195,276,124,276,124,284,153,13,124,153
5222,63595535455425.1,60.00024000096,320,240,181,115,27,0,0,27,284,151,27,35,34,289,195,276,124,276,124,284,151,13,124,151
5223,63595535455452.1,60.00024000096,320,240,202,117,27,57.0400687215026,5.93677114341531,27,284,148,27,35,34,289,195,276,125,276,125,284,148,13,125,148
5224,63595535455477.1,60.00024000096,320,240,216,119,27,78.9045003333938,8.66768586938635,27,284,146,27,35,34,289,195,276,125,276,125,284,146,13,125,146
5225,63595535455504.1,60.00024000096,320,240,223,120,27,76.0559178650662,9.49111602697805,27,284,146,27,35,34,289,195,276,126,276,126,284,146,13,126,146
5226,63595535455528.1,60.00024000096,320,240,226,121,27,64.6194318553311,9.238019599592,27,284,142,27,35,34,289,195,276,128,276,128,284,142,13,128,142
5227,63595535455551.1,60.00024000096,320,240,226,121,27,0,0,27,284,140,27,35,34,289,195,276,128,276,128,284,140,13,128,140
5228,63595535455574.1,60.00024000096,320,240,224,121,27,-5.02201337590207,0.227938576925563,27,284,137,27,35,34,289,195,276,128,276,128,284,137,13,128,137
5229,63595535455597.1,60.00024000096,320,240,221,121,27,-11.706139528817,0.332790322311305,27,284,136,27,35,34,289,195,276,128,276,128,284,136,13,128,136
5230,63595535455621.1,60.00024000096,320,240,221,121,27,0,0,27,285,134,27,35,34,289,195,276,128,276,128,285,134,13,128,134
5231,63595535455646.1,60.00024000096,320,240,215,121,27,-17.5332509280183,0.121468467643631,27,284,132,27,35,34,289,195,276,128,276,128,284,132,13,128,132
5232,63595535455668.1,60.00024000096,320,240,206,121,27,-35.8045463549066,0.177343962759691,27,284,131,27,35,34,289,195,276,128,276,128,284,131,13,128,131
5233,63595535455693.1,60.00024000096,320,240,198,120,27,-47.3051682586227,-1.26380836077814,27,284,130,27,35,34,289,195,276,128,276,128,284,130,13,128,130
5234,63595535455715.1,60.00024000096,320,240,191,120,27,-52.9013029050594,-1.93966680449069,27,284,129,27,35,34,289,195,276,128,276,128,284,129,13,128,129
5235,63595535455739.1,60.00024000096,320,240,183,120,27,-62.2329780763667,-2.15843005909774,27,284,128,27,35,34,289,195,276,128,276,128,284,128,13,128,128
5236,63595535455758.1,60.00024000096,320,240,175,120,27,-65.5850436733892,-2.11765944616961,27,284,128,27,35,34,289,195,276,128,276,128,284,128,13,128,128
5237,63595535455780.1,60.00024000096,320,240,168,119,27,-66.9642097462525,-3.39955541291446,27,285,128,27,35,34,289,195,276,128,276,128,285,128,13,128,128
5238,63595535455800.1,60.00024000096,320,240,160,118,27,-71.5654764559795,-3.83485018399132,27,284,128,27,35,34,289,195,276,128,276,128,284,128,13,128,128
5239,63595535455821.1,60.00024000096,320,240,152,118,27,-73.1743682519521,-3.78725818908524,27,284,127,27,35,34,289,195,276,128,276,128,284,127,13,128,127
5240,63595535455843.1,60.00024000096,320,240,145,118,27,-73.0713352444586,-3.48580529301547,27,284,127,27,35,34,289,195,276,128,276,128,284,127,13,128,127
5241,63595535455868.1,60.00024000096,320,240,137,117,27,-74.9795286154443,-4.52904583883906,27,284,127,27,35,34,289,195,276,128,276,128,284,127,13,128,127
5242,63595535455895.1,60.00024000096,320,240,129,116,27,-74.9043972267767,-4.75482128405709,27,284,126,27,35,34,289,195,276,128,276,128,284,126,13,128,126
5243,63595535455917.1,60.00024000096,320,240,122,116,27,-73.7778291519237,-5.98651054720601,27,285,126,27,35,34,289,195,276,128,276,128,285,126,13,128,126
5244,63595535455944.1,60.00024000096,320,240,114,115,27,-75.0890772796593,-6.20646113664675,27,284,126,27,35,34,289,195,276,128,276,128,284,126,13,128,126
5245,63595535455966.1,60.00024000096,320,240,107,114,27,-74.6878476732424,-7.32922178889816,27,284,125,27,35,34,289,195,276,128,276,128,284,125,13,128,125
5246,63595535455992.1,60.00024000096,320,240,98,113,27,-77.7772883206035,-7.39324067207227,27,284,125,27,35,34,289,195,276,128,276,128,284,125,13,128,125
5247,63595535456020.1,60.00024000096,320,240,91,112,27,-76.6696869230102,-8.34638908992165,27,284,126,27,35,34,289,195,276,128,276,128,284,126,13,128,126
5248,63595535456042.2,60.00024000096,320,240,91,112,27,0,0,27,284,126,27,35,34,289,195,276,128,276,128,284,126,13,128,126
5249,63595535456069.1,60.00024000096,320,240,89,111,27,-4.31535450774787,-3.61100608149554,27,284,126,27,35,34,289,195,276,128,276,128,284,126,13,128,126
5250,63595535456102.1,60.00024000096,320,240,93,109,27,6.82158241868811,-8.18806887898347,27,284,126,27,35,34,289,195,276,128,276,221,284,126,13,128,126
5251,63595535456127.2,60.00024000096,320,240,98,107,27,18.0911627484635,-11.4882754224869,27,284,127,27,35,34,289,195,276,128,276,106,284,127,13,128,127
5252,63595535456152.2,60.00024000096,320,240,106,104,27,35.8998763418378,-13.8674602112206,27,284,127,27,35,34,289,195,276,128,276,51,284,127,13,128,127
5253,63595535456176.2,60.00024000096,320,240,117,102,27,55.895038830427,-17.0403899357388,27,284,127,27,35,34,289,195,276,54,276,54,284,127,13,54,127
5254,63595535456201.2,60.00024000096,320,240,117,102,27,0,0,27,284,127,27,35,34,289,195,276,54,276,54,284,127,13,54,127
5255,63595535456225.2,60.00024000096,320,240,133,99,27,42.0843342436464,-7.96551510652988,27,284,127,27,35,34,289,195,276,72,276,72,284,127,13,72,127
5256,63595535456253.2,60.00024000096,320,240,146,96,27,67.2751279957237,-13.0876520555336,27,284,127,27,35,34,289,195,276,71,276,71,284,127,13,71,127
5257,63595535456324.2,60.00024000096,320,240,161,93,27,87.4589451553174,-17.7791490008093,27,284,125,27,35,34,289,195,276,69,276,69,284,125,13,69,125
5258,63595535456351.2,60.00024000096,320,240,174,90,27,99.1291442178423,-20.4411477607877,27,284,122,27,35,34,289,195,276,69,276,69,284,122,13,69,122
5259,63595535456376.2,60.00024000096,320,240,195,86,27,128.739678684781,-26.2015672282188,27,284,116,27,35,34,289,195,276,70,276,70,284,116,13,70,116
5260,63595535456397.2,60.00024000096,320,240,195,86,27,0,0,27,284,111,27,35,34,289,195,276,70,276,70,284,111,13,70,111
5261,63595535456423.2,60.00024000096,320,240,213,82,27,49.902044486202,-11.150056434876,27,284,106,27,35,34,289,195,276,68,276,68,284,106,13,68,106
5262,63595535456447.2,60.00024000096,320,240,225,79,27,69.940984949855,-16.2790823949189,27,284,102,27,35,34,289,195,276,67,276,67,284,102,13,67,102
5263,63595535456477.2,60.00024000096,320,240,233,76,27,71.1470385200912,-19.2835952224362,27,285,97,27,35,34,289,195,276,64,276,64,285,97,13,64,97
5264,63595535456502.2,60.00024000096,320,240,233,76,27,0,0,27,284,93,27,35,34,289,195,276,64,276,64,284,93,13,64,93
5265,63595535456532.2,60.00024000096,320,240,235,73,27,5.91778723988893,-8.31790150412613,27,284,89,27,35,34,289,195,276,64,276,77,284,89,13,64,89
5266,63595535456555.2,60.00024000096,320,240,235,71,27,0,0,27,284,86,27,35,34,289,195,276,64,276,77,284,86,13,64,86
5267,63595535456574.2,60.00024000096,320,240,234,69,27,0,0,27,284,83,27,35,34,289,195,276,64,276,77,284,83,13,64,83
5268,63595535456600.2,60.00024000096,320,240,234,69,27,0,0,27,285,80,27,35,34,289,195,276,64,276,77,285,80,13,64,80
5269,63595535456623.2,60.00024000096,320,240,230,66,27,-10.9054647613002,-6.92877328943062,27,285,78,27,35,34,289,195,276,64,276,77,285,78,13,64,78
